Tên nền tảng (Platform),Nhà phát triển / License,Ngôn ngữ HDL / Framework,Cores hỗ trợ,Kiến trúc hệ thống,Ngoại vi tích hợp,Hỗ trợ bộ nhớ,Khả năng chạy OS,Tài nguyên FPGA / Silicon,Ứng dụng điển hình,Ưu điểm,Hạn chế,Link
Raven,Efabless / ISC,Verilog,PicoRV32,Tiny SoC for Open MPW shuttles,"GPIO, UART, logic analyzer interface",SRAM,Bare-metal,Rất nhỏ,Open-source silicon tapeout,Dễ tapeout qua Sky130,Hiệu năng hạn chế,https://github.com/efabless/raven-picorv32
PicoSoC,Clifford Wolf / ISC,Verilog,PicoRV32,Minimal SoC,"UART, SPI Flash interface, GPIO","SRAM, SPI Flash XIP",Bare-metal,Cực nhẹ,"FPGA nhỏ, bootloader, MCU",Tiny footprint,Không hỗ trợ OS phức tạp,https://github.com/cliffordwolf/picorv32
Icicle,Graham Edgecombe / ISC,Verilog,RV32I,Small FPGA-oriented SoC,"UART, Timer",BRAM,Bare-metal,Rất nhẹ,FPGA learning platform,Thiết kế đơn giản,Tính năng ít,https://github.com/grahamedgecombe/icicle
MIV RV32IMA L1 AHB,Microchip / Apache 2.0,Verilog,Rocket RV32IMA,AMBA AHB-based subsystem,"UART, SPI, GPIO, Timer","SRAM, external memory","RTOS, Bare-metal",Trung bình,PolarFire FPGA SoC,Toolchain và ecosystem tốt,Gắn với Microchip ecosystem,https://github.com/polarfire-soc
MIV RV32IMA L1 AXI,Microchip / Apache 2.0,Verilog,Rocket RV32IMA,AXI interconnect-based SoC,"UART, SPI, GPIO","SRAM, AXI memory","RTOS, Bare-metal",Trung bình,FPGA embedded system,AXI compatibility tốt,Không hướng Linux,https://github.com/polarfire-soc
MIV RV32IMAF L1 AHB,Microchip / Apache 2.0,Verilog,Rocket RV32IMAF,Floating-point embedded SoC,"UART, SPI, GPIO, Timer","SRAM, external memory","RTOS, Bare-metal",Trung bình,DSP/control embedded applications,Hỗ trợ floating-point,Linux support hạn chế,https://github.com/polarfire-soc
MIV RV32IMC,Microchip / Apache 2.0,Verilog,Submicron RV32I/RV32IC/RV32IM/RV32IMC,Compact MCU SoC,"UART, SPI, GPIO",SRAM,"Bare-metal, RTOS",Nhẹ,Low-cost MCU FPGA systems,Compressed ISA support,Hiệu năng thấp,https://github.com/polarfire-soc
FreeStart AE250,Andes / Evaluation License,Verilog,Andes N22,Entry-level evaluation SoC,"UART, GPIO, SPI, Timer","SRAM, external memory","RTOS, Bare-metal",Nhẹ,Andes evaluation platform,Dễ đánh giá Andes ecosystem,License giới hạn evaluation,https://github.com/andestech
Standard AE250,Andes / Commercial,Verilog,Andes N22,Commercial embedded SoC,"UART, SPI, I2C, GPIO","SRAM, DDR",RTOS,Trung bình,Industrial embedded systems,Commercial support tốt,Không open-source,"https://github.com/andestech, https://www.andestech.com"
AE350,Andes / Commercial,Verilog,"N25F, D25F, A25, A25MP, NX25, AX25, AX25MP, A27, A27L2, AX27, AX27L2, N45, D45, A45, NX45, AX45",High-performance configurable multicore SoC,"Ethernet, PCIe, DMA, USB, UART","DDR3/DDR4, cache hierarchy","Linux, RTOS",Trung bình đến lớn,Linux-capable industrial SoC,Scalability cao,Ecosystem đóng,https://github.com/andestech
SCR1 SDK,Syntacore / SHL 2.0,Verilog,"SCR1, SCRx",Compact MCU-class SoC SDK,"UART, SPI, GPIO, Timer",SRAM,"RTOS, Bare-metal",Nhẹ,Embedded firmware development,SDK/toolchain mạnh,Không hỗ trợ Linux đầy đủ,https://github.com/syntacore/scr1
ESP,Columbia University SLD / Apache 2.0,"SystemVerilog, Chisel",Ariane,Accelerator-centric heterogeneous SoC,"Accelerator tiles, DMA, Ethernet",DDR memory subsystem,Linux + accelerator runtime,Lớn,Domain-specific acceleration research,Tích hợp accelerator mạnh,Build flow phức tạp,"https://github.com/sld-columbia/esp, https://www.esp.cs.columbia.edu"
Chipyard,UC Berkeley BAR / BSD,"Chisel, Scala","Rocket, BOOM, CVA6, others",Full SoC integration framework,"UART, SPI, Ethernet, PCIe (optional)","DDR, cache hierarchy","Linux, RTOS, Bare-metal",Trung bình đến rất lớn,"ASIC prototyping, academic SoC research",Ecosystem mạnh nhất RISC-V open-source,"Setup nặng, compile lâu","https://github.com/ucb-bar/chipyard, https://chipyard.readthedocs.io"
PQSoC,PQShield / Commercial,Verilog,Pluto,Security-oriented SoC,"Crypto accelerators, secure peripherals","SRAM, secure memory","RTOS, Bare-metal",Nhẹ đến trung bình,Post-quantum cryptography,Hardware security integration,Không fully open-source,"https://github.com/pqshield, https://pqshield.com"
KRZ,Sonal Pinto / Apache 2.0,Verilog,Kronos,Lightweight SoC around Kronos core,"UART, GPIO, Timer",SRAM,Bare-metal,Nhẹ,Educational SoC,"Đơn giản, dễ modify",Ecosystem nhỏ,https://github.com/SonalPinto/kronos
IOb-SoC,IObundle / MIT,Verilog,PicoRV32,Modular FPGA/ASIC SoC,"UART, SPI, Ethernet optional","SRAM, external DDR","RTOS, Bare-metal",Nhẹ,FPGA prototyping,Modular architecture,Hiệu năng hạn chế,"https://github.com/IObundle/iob-soc, https://www.iobundle.com"
SweRVolf,CHIPS Alliance / Apache 2.0,Verilog,"SweRV EH1, EL2",Performance-oriented MCU SoC,"UART, SPI, GPIO, Debug",SRAM,"RTOS, Bare-metal",Trung bình,Real-time embedded,IPC cao cho RV32,Linux support hạn chế,"https://github.com/chipsalliance/Cores-SweRVolf, https://chipsalliance.github.io/Cores-SweRVolf-Docs/"
Servant,Olof Kindgren / ISC,Verilog,SERV,Bit-serial minimal SoC,"UART, Timer",BRAM/SRAM,Bare-metal,Cực nhỏ,"Tiny FPGA, educational",Resource usage cực thấp,Hiệu năng rất thấp,https://github.com/olofk/servant
NEORV32 Processor,Stephan Nolting / BSD,VHDL,NEORV32,MCU-style configurable processor SoC,"UART, SPI, I2C, PWM, GPIO, WDT","Internal IMEM/DMEM, external memory","RTOS, Zephyr, bare-metal",Nhẹ,Industrial FPGA softcore,Documentation rất tốt,Không phù hợp Linux/MMU,"https://github.com/stnolting/neorv32, https://stnolting.github.io/neorv32/"
GRLIB,Cobham Gaisler / GPL + Commercial,VHDL,NOEL-V,Space-grade SoC framework,"SpaceWire, Ethernet, CAN, UART","SRAM, DDR, ECC memory","RTEMS, Linux",Trung bình đến lớn,"Aerospace, space systems",Radiation-tolerant ecosystem,Commercial tooling/license phức tạp,https://github.com/TUT-ASI/leon3-grlib-gpl-mirror
LiteX,Enjoy Digital / BSD,"Python, Migen, LiteX framework","BlackParrot, CV32E40P, Minerva, PicoRV32, Rocket, SERV, VexRiscv (SMP supported with VexRiscv)",Python-generated modular FPGA SoC,"Ethernet, UART, SPI, I2C, SDRAM, Video, PCIe","SDRAM, DDR, HyperRAM, BRAM","Linux, Zephyr, RTOS, bare-metal",Rất linh hoạt; từ FPGA nhỏ đến lớn,"FPGA prototyping, custom SoC research","Tích hợp nhanh, hỗ trợ nhiều core, ecosystem mạnh",Hiệu năng phụ thuộc FPGA/toolchain,"https://github.com/enjoy-digital/litex, https://github.com/enjoy-digital/litex/wiki"
,,,,,,,,,,,,
,,,,,,,,,,Người tạo: ,Đặng Văn Rin,
